key,tex_file,tex_line,citation_context,present_in_bib,content_match_status,bib_metadata_status,action_needed,verified_title,verified_source,notes
Bowden2015,manuscript.tex,109,"The inverse-variance weighted (IVW) method served as the primary method for univariable MR analysis \cite{Burgess2013}, implemented using a multiplicative random-effects model to accommodate potential heterogeneity across exposure--outcome combinations. Analyses simultaneously implemented MR-Egger regression \cite{Bowden2015}, weighted median \cite{Bowden2016}, and mode-based estimation (simple/weighted mode) \cite{Hartwig2017} to assess robustness. Standard errors for the weighted median and mode methods were estimated using 1,000 bootstrap replicates. Sensitivity analyses included Cochran's Q statistic, MR-Egger intercept test, MR-PRESSO \cite{Verbanck2018}, and leave-one-out analysis. MR-PRESSO global test was based on 1,000 simulations, with outlier SNPs identified using Bonferroni correction and excluded before re-estimating IVW results. Final results were based on IVW, with priority given to Asian exposure--outcome combinations; cross-ancestry analyses served as external consistency evidence. Complete results and analysis code are available in the supplementary materials.",True,PASS,PASS,none,Mendelian randomization with invalid instruments: effect estimation and bias detection through Egger regression,International Journal of Epidemiology; 2015; 44(2):512-525; DOI 10.1093/ije/dyv080; PMID 26050253,Supports MR-Egger regression for invalid instruments and pleiotropy sensitivity.
Bowden2016,manuscript.tex,109,"The inverse-variance weighted (IVW) method served as the primary method for univariable MR analysis \cite{Burgess2013}, implemented using a multiplicative random-effects model to accommodate potential heterogeneity across exposure--outcome combinations. Analyses simultaneously implemented MR-Egger regression \cite{Bowden2015}, weighted median \cite{Bowden2016}, and mode-based estimation (simple/weighted mode) \cite{Hartwig2017} to assess robustness. Standard errors for the weighted median and mode methods were estimated using 1,000 bootstrap replicates. Sensitivity analyses included Cochran's Q statistic, MR-Egger intercept test, MR-PRESSO \cite{Verbanck2018}, and leave-one-out analysis. MR-PRESSO global test was based on 1,000 simulations, with outlier SNPs identified using Bonferroni correction and excluded before re-estimating IVW results. Final results were based on IVW, with priority given to Asian exposure--outcome combinations; cross-ancestry analyses served as external consistency evidence. Complete results and analysis code are available in the supplementary materials.",True,PASS,PASS,none,Consistent estimation in Mendelian randomization with some invalid instruments using a weighted median estimator,Genetic Epidemiology; 2016; 40(4):304-314; DOI 10.1002/gepi.21965; PMID 27061298,Supports weighted median MR sensitivity method.
Burgess2013,manuscript.tex,109,"The inverse-variance weighted (IVW) method served as the primary method for univariable MR analysis \cite{Burgess2013}, implemented using a multiplicative random-effects model to accommodate potential heterogeneity across exposure--outcome combinations. Analyses simultaneously implemented MR-Egger regression \cite{Bowden2015}, weighted median \cite{Bowden2016}, and mode-based estimation (simple/weighted mode) \cite{Hartwig2017} to assess robustness. Standard errors for the weighted median and mode methods were estimated using 1,000 bootstrap replicates. Sensitivity analyses included Cochran's Q statistic, MR-Egger intercept test, MR-PRESSO \cite{Verbanck2018}, and leave-one-out analysis. MR-PRESSO global test was based on 1,000 simulations, with outlier SNPs identified using Bonferroni correction and excluded before re-estimating IVW results. Final results were based on IVW, with priority given to Asian exposure--outcome combinations; cross-ancestry analyses served as external consistency evidence. Complete results and analysis code are available in the supplementary materials.",True,PASS,PASS,none,Mendelian randomization analysis with multiple genetic variants using summarized data,Genetic Epidemiology; 2013; 37(7):658-665; DOI 10.1002/gepi.21758; PMID 24114802,Supports IVW summary-data MR implementation.
Bycroft2018,manuscript.tex,277,"The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,The UK Biobank resource with deep phenotyping and genomic data,Nature; 2018; 562(7726):203-209; DOI 10.1038/s41586-018-0579-z; PMID 30305743,Supports UK Biobank resource citation in Data availability.
Chan2015,manuscript.tex,86,"However, Asian and European populations differ substantially in glaucoma subtype composition and disease burden \cite{Chan2015}, and population differences in genetic architecture and environmental exposures may limit whether MR findings from European populations can be generalized to Asian populations. Currently, MR studies on glaucoma in Asian populations are limited. Regarding glycemic traits, Hanyuda et al. \cite{Hanyuda2023} reported a positive association between fasting glucose and POAG in a Japanese population (OR = 1.48), but other Asian MR studies have reached inconsistent conclusions. Recent lipid-species-level MR has identified specific phosphatidylcholine species as protective for glaucoma in Asian populations \cite{Shen2026}, but broader conventional lipid trait--glaucoma associations---particularly with independent cross-cohort replication, subtype resolution, and systematic mechanistic exclusion---remain unexplored. Furthermore, previous studies have largely been fragmented analyses of single exposure--outcome pairs, with varying data sources, outcome definitions, and robustness criteria, making direct comparisons difficult; few studies have used multivariable MR (MVMR) to evaluate independent effects of exposures.",True,PASS_AFTER_TEXT_EDIT,PASS,completed: narrowed text to subtype composition and disease burden,Glaucoma in Asia: regional prevalence variations and future projections,British Journal of Ophthalmology; 2016; 100(1):78-85; DOI 10.1136/bjophthalmol-2014-306102; PMID 26112871,"Supports Asian glaucoma prevalence/subtype burden, not lipid genetic background; manuscript wording was narrowed accordingly."
Chen2016,manuscript.tex,101; 173; 277,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || TWB ocular outcomes & Taiwanese & 65,152 & --- & Glaucoma, cataract, retinopathy, macular degeneration & \cite{Hsieh2025,Chen2016} & \footnotesize{taiwanview.twbiobank.org.tw} \\ || The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,"Population structure of Han Chinese in the modern Taiwanese population based on 10,000 participants in the Taiwan Biobank project",Human Molecular Genetics; 2016; 25(24):5321-5331; DOI 10.1093/hmg/ddw346; PMID 27798100,Supports Taiwan Biobank resource/population context for TWB ophthalmic outcomes; not used as TPMI-specific evidence.
Davey2014,manuscript.tex,84,"Mendelian randomization (MR) leverages genetic variants as instrumental variables to infer causal relationships between exposures and outcomes in observational data, effectively overcoming confounding bias and reverse causation \cite{Davey2014}. In recent years, the application of MR methods in ophthalmology has grown rapidly. In European populations, several MR studies have investigated the causal associations between metabolic factors and glaucoma, but with inconsistent conclusions: Xu et al. \cite{Xu2020} found no causal association between lipid traits and primary open-angle glaucoma (POAG), while other studies have suggested heterogeneity across glaucoma subtypes and metabolic exposures \cite{Hu2022,Kang2024}.",True,PASS,PASS,none,Mendelian randomization: genetic anchors for causal inference in epidemiological studies,Human Molecular Genetics; 2014; 23(R1):R89-R98; DOI 10.1093/hmg/ddu328; PMID 25064373,Supports general MR causal-inference concept.
Faro2024,manuscript.tex,101; 177,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || GBMI POAG$^{\dagger}$ & EAS meta & 269,960 & 9,715 & POAG & \cite{Faro2024} & \footnotesize{globalbiobankmeta.org} \\",True,PASS_AFTER_BIB_EDIT,PASS_AFTER_EDIT,"completed: corrected title, DOI, issue, page, PMID field",Novel ancestry-specific primary open-angle glaucoma loci and shared biology with vascular mechanisms and cell proliferation,Cell Reports Medicine; 2024; 5(3):101430; DOI 10.1016/j.xcrm.2024.101430; PMID 38382466,Supports GBMI POAG meta-analysis/source; previous BibTeX pointed to an unrelated Cell Reports Medicine article.
HPS2002,manuscript.tex,230,"Lipid traits did not show consistent protective associations with cataract (BBJ: LDL OR = 0.94, $p = 0.19$; total lipids OR = 0.87, $p = 1.4\times10^{-5}$), TWB retinopathy (total lipids OR = 0.87, $p = 0.30$), or TWB macular degeneration (total lipids OR = 1.10, $p = 0.52$). The total lipids--cataract association, though nominally significant, is discordant with randomized statin evidence: major statin trials demonstrated cardiovascular benefit from LDL-lowering (WOSCOPS \cite{Shepherd1995}, HPS \cite{HPS2002}, JUPITER \cite{Ridker2008}), while a meta-analysis of randomized trials found no clear cataract reduction with statin use \cite{Yu2017CataractMeta}. This isolated cataract result likely reflects horizontal pleiotropy rather than a causal effect. These results support specificity of the lipid protective effect to glaucoma pathology.",True,PASS_AFTER_TEXT_EDIT,PASS,"completed: used as cardiovascular LDL-lowering trial, not direct cataract endpoint evidence","MRC/BHF Heart Protection Study of cholesterol lowering with simvastatin in 20,536 high-risk individuals: a randomised placebo-controlled trial",Lancet; 2002; 360(9326):7-22; DOI 10.1016/S0140-6736(02)09327-3; PMID 12114036,Main HPS citation supports statin LDL-lowering cardiovascular benefit; direct cataract interpretation is now supported by Yu2017CataractMeta.
Hanyuda2023,manuscript.tex,86,"However, Asian and European populations differ substantially in glaucoma subtype composition and disease burden \cite{Chan2015}, and population differences in genetic architecture and environmental exposures may limit whether MR findings from European populations can be generalized to Asian populations. Currently, MR studies on glaucoma in Asian populations are limited. Regarding glycemic traits, Hanyuda et al. \cite{Hanyuda2023} reported a positive association between fasting glucose and POAG in a Japanese population (OR = 1.48), but other Asian MR studies have reached inconsistent conclusions. Recent lipid-species-level MR has identified specific phosphatidylcholine species as protective for glaucoma in Asian populations \cite{Shen2026}, but broader conventional lipid trait--glaucoma associations---particularly with independent cross-cohort replication, subtype resolution, and systematic mechanistic exclusion---remain unexplored. Furthermore, previous studies have largely been fragmented analyses of single exposure--outcome pairs, with varying data sources, outcome definitions, and robustness criteria, making direct comparisons difficult; few studies have used multivariable MR (MVMR) to evaluate independent effects of exposures.",True,PASS,PASS,none,Association Between Glycemic Traits and Primary Open-Angle Glaucoma: A Mendelian Randomization Study in the Japanese Population,American Journal of Ophthalmology; 2023; 245:193-201; DOI 10.1016/j.ajo.2022.09.004; PMID 36162535,Supports Japanese glycemic-trait MR and fasting glucose association with POAG.
